Date,Month_End,Broker,Portfolio,RefCur,Currency,Nominal/Quantity,Cost_Price,Last_Price,Last_Price_Date,Exchange_Rate,Calculated_Amount,Amount_In_USD,Calculated_Accrued_Interest,Accrued_Interest_In_USD,Total_Amount_In_USD,FileDate,Bank,ISIN,Asset,AssetSubtype,Description,Statement_Product_Type,Compliance_Product_Type,Product_Valor,Product,Underlying
2026/6/1,202606,BOS HK,A,USD,HKD,300,121.3263667,38.250365,2026/6/16,7.833325,13655.38031,1743.242654,0,0,1743.242654,2026/6/1,BOS,KYG532631028,Equities,Equities,KUAISHOU TECH,Equity,Equity,1024,KUAISHOU TECH KYG532631028,Kuaishou Technology;1024.HK
2026/6/1,202606,BOS SG,B,USD,USD,500000,101.8,113.8872387,2026/6/16,1,654328.3683,643462.8984,9615.460079,9615.460079,654328.3683,2026/6/1,BOS,XS2282238083,Bonds,Fixed Income,ASAML  4.100 Perp     '31 FRN,Bond,Bond,,,
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,1132504.745,1132504.745,2159.74,2159.74,1134750.874,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 29/06/2026 AA26146LM305,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,A,USD,CHF,0,0,0,,0.795023,-1048262.374,-1318530.875,0,0,-1318530.875,2026/6/1,BOS,,Loans,,TERM LOAN CHF 1.30% 23/06/2026 AA26166YY2ZH,TL,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,C,USD,USD,1617,218.3122387,205.5471556,2026/6/16,1,332369.7505,332369.7505,0,0,332369.7505,2026/6/1,BOS,US68389X1054,Equities,Equities,ORACLE CORPORATION,Equity,Equity,,Oracle Corp Registered-shares,Oracle Corporation;ORCL
2026/6/1,202606,BOS SG,B,USD,HKD,0,0,0,,7.833325,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/1,202606,BOS SG,A,USD,USD,57,198.9810526,346.3250412,2026/6/16,1,21122.36426,21122.36426,0,0,21122.36426,2026/6/1,BOS,US0378331005,Equities,Equities,APPLE INC,Equity,Equity,908440,Reg.shs Apple Inc. Distribution: 13.05.2021 Distribution amount: USD 0.22 Valor 908440 - Symbol AAPL,Apple Inc;AAPL
2026/6/1,202606,BOS SG,C,USD,USD,788,478.0467132,371.735367,2026/6/16,1,310503.1174,310503.1174,0,0,310503.1174,2026/6/1,BOS,US5949181045,Equities,Equities,MICROSOFT CORPORATION,Equity,Equity,,REGISTERED SHS MICROSOFT CORP US5949181045 1000 USD 153.5 NASDAQ,Microsoft Corporation;MSFT
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,947383.7769,947383.7769,2159.74,2159.74,949262.7507,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 29/06/2026 AA26146C615H,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,B,USD,SGD,350000,100,116.5905569,2026/6/16,1.2824635,342776.2374,267279.5301,0,0,267279.5301,2026/6/1,BOS,XS3293871862,Equity Structured Products,Equities,"9M SGD OCBC FCN - SGXL.SI, STEL.SI",FCN,Structured Product,,"9M SGD OCBC FCN - SGXL.SI, STEL.SI 161226 XS3293871862",Singapore Exchange Limited;S68.SI;Singapore Telecommunications Limited;Z74.SI
2026/6/1,202606,BOS SG,A,USD,USD,200000,100.45,117.0536379,2026/6/16,1,225625.6597,224742.9847,919.4531063,919.4531063,225625.6597,2026/6/1,BOS,US456837AZ69,Bonds,Fixed Income,INGA   4.250 Perp     FRN,Bond,Bond,,ING GROEP NV INGA 4.250 Perp FRN,ING Groep N.V.;ING
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,1176062.62,1176062.62,2159.74,2159.74,1178395.139,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 29/06/2026 AA261462LBH0,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,A,USD,USD,100000,100,68.64286205,2026/6/16,1,73447.86239,73447.86239,0,0,73447.86239,2026/6/1,BOS,XS3365236051,Equity Structured Products,Equities,"6M USD NATIXIS FCN - NVDA.OQ, TSM.N",FCN,Structured Product,,"6M USD NATIXIS FCN - NVDA.OQ, TSM.N , GOOGL.OQ 071226 XS3365236051",Alphabet Inc;GOOGL;NVIDIA Corporation;NVDA;Taiwan Semiconductor Manufacturing Company Limited;TSM
2026/6/1,202606,BOS SG,C,USD,USD,1000000,106.93,75.73938015,2026/6/16,1,727083.4139,711950.1734,16099.19192,16099.19192,727083.4139,2026/6/1,BOS,US404280DT33,Bonds,Fixed Income,HSBA   8.000 Perp     '28 FRN,Bond,Bond,125450589,8 % Convertible BondsHSBC Holdings PLC 2023 without final maturityGlobalVR,HSBC Holdings plc;HSBA.L
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,1292627.448,1292627.448,827.67,827.67,1293604.099,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 09/07/2026 AA261569HDVY,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,A,USD,USD,100000,100,121.2017035,2026/6/16,1,105445.482,105445.482,0,0,105445.482,2026/6/1,BOS,XS3365232738,Equity Structured Products,Equities,"6M USD NATIXIS FCN - NVDA.OQ, AMD.O",FCN,Structured Product,,"6M USD NATIXIS FCN - NVDA.OQ, AMD.O Q, AVGO.OQ 041226 XS3365232738",NVIDIA Corporation;NVDA;Advanced Micro Devices Inc;AMD;Broadcom Inc;AVGO
2026/6/1,202606,BOS SG,B,USD,EUR,0,0,0,,1.159447,497.292,576.5838,0,0,576.5838,2026/6/1,BOS,,Current Accounts,,Current Accounts EUR,Cash,Cash,,,
2026/6/1,202606,BOS SG,A,USD,USD,36,120.3919444,198.6655987,2026/6/16,1,7652.598862,7652.598862,0,0,7652.598862,2026/6/1,BOS,US67066G1040,Equities,Equities,NVIDIA CORPORATION,Equity,Equity,NVDA,NVIDIA C,NVIDIA Corporation;NVDA
2026/6/1,202606,BOS SG,C,USD,USD,0,0,0,,1,0,-32604.3872,0,0,-32604.3872,2026/6/1,BOS,,Equity Derivatives,,ACCU USD 332.0539 ALPHABET INC-CL C 07/10/2027 KO: 405.905; Booster: 2X SYACDC2612800233,Equity AQ,Structured Product,,,
2026/6/1,202606,BOS SG,C,USD,USD,476,105.4201681,87.1560523,2026/6/16,1,34018.75033,34018.75033,0,0,34018.75033,2026/6/1,BOS,US21873S1087,Equities,Equities,COREWEAVE CL A ORD,Equity,Equity,,CoreWeave Inc Registered-shares -A-,CoreWeave Inc;CRWV
2026/6/1,202606,BOS SG,A,USD,USD,200000,100.25,99.65490328,2026/6/16,1,232190.2119,229206.2776,2594.725504,2594.725504,232190.2119,2026/6/1,BOS,XS3307229321,Bonds,Fixed Income,OCBC   4.517 03/04/36 '31 FRN,Bond,Bond,,OVERSEA-CHINESE BANKING CORPORATION LTD OCBC 4.517 03/04/36 '31 FRN,Oversea-Chinese Banking Corporation Limited;O39.SI
2026/6/1,202606,BOS SG,C,USD,USD,1627,98.30633681,37.65603377,2026/6/16,1,49013.09355,49013.09355,0,0,49013.09355,2026/6/1,BOS,US6701002056,Equities,Equities,NOVO NORDISK A S -SPONS ADR,Equity,Equity,461641,Sponsored American Deposit Receipt Novo Nordisk A/S (Repr. 1 shs -B-) (NVO),Novo Nordisk A/S;NVO
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,1045389.504,1045389.504,2159.75,2159.75,1047462.864,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 29/06/2026 AA26146SJQQR,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,B,USD,JPY,11026,1849.815,2239.298821,2026/6/16,160.256251,28640990.21,178719.959,0,0,178719.959,2026/6/1,BOS,JP3228600007,Equities,Equities,KANSAI ELECTRIC POWER CO INC (9503),Equity,Equity,,KANSAI ELECTRIC POWER COMPANY INCORPORATED (9503),"The Kansai Electric Power Company, Incorporated;9503.T"
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,1121615.276,1121615.276,2159.74,2159.74,1123839.808,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 29/06/2026 AA26146QC51S,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,B,USD,SGD,340000,100,124.1871519,2026/6/16,1.2824635,337789.053,263390.7783,0,0,263390.7783,2026/6/1,BOS,XS3185387605,Equity Structured Products,Equities,"10M SGD Citi FCN - DBSM.SI, OCBC.SI",FCN,Structured Product,,,
2026/6/1,202606,BOS SG,C,USD,USD,323,130.5986068,197.6913599,2026/6/16,1,54276.16285,54276.16285,0,0,54276.16285,2026/6/1,BOS,US2193501051,Equities,Equities,CORNING INC,Equity,Equity,,Corning Inc Registered-shares,Corning Incorporated;GLW
2026/6/1,202606,BOS SG,B,USD,USD,35247.803,99.8,60.34102542,2026/6/16,1,1786586.406,1786586.406,0,0,1786586.406,2026/6/1,BOS,LU1041600773,Fixed Income Funds,Fixed Income,JPM Income Fund C Div USD-DIS,Fund,Fund,,,
2026/6/1,202606,BOS SG,A,USD,JPY,0,0,0,,160.256251,17858560,111437.5234,0,0,111437.5234,2026/6/1,BOS,,Current Accounts,,Current Accounts JPY,Cash,Cash,,,
2026/6/1,202606,BOS SG,A,USD,USD,200000,98.45,102.8063593,2026/6/16,1,179917.6078,176826.9379,3593.802197,3593.802197,179917.6078,2026/6/1,BOS,USG91139AK43,Bonds,Fixed Income,TSM    4.375 07/22/27,Bond,Bond,,TSMC Global Ltd 4.375 % 2022-22.07.2027,Taiwan Semiconductor Manufacturing Company Limited;TSM
2026/6/1,202606,BOS SG,C,USD,USD,0,0,0,,1,0,-2781.0048,0,0,-2781.0048,2026/6/1,BOS,,Equity Derivatives,,ACCU USD 307.0436 ALPHABET INC-CL C 02/11/2027 KO: 373.5147; Booster: 2X SYACDC2615400345,Equity AQ,Structured Product,,,
2026/6/1,202606,BOS SG,A,USD,USD,118,264.5262712,354.3666004,2026/6/16,1,41397.10626,41397.10626,0,0,41397.10626,2026/6/1,BOS,US91324P1021,Equities,Equities,UNITEDHEALTH GROUP INC,Equity,Equity,1078451,UNITEDHEALTH GROUP INC,UnitedHealth Group Incorporated;UNH
2026/6/1,202606,BOS SG,A,USD,USD,10204.08,9.89800158,7.262028456,2026/6/16,1,74102.31829,74102.31829,0,0,74102.31829,2026/6/1,BOS,LU1564329115,Other Funds,Multi-Asset Class and Other Investments,BGF DHI A6 USD-DIS,Fund,Fund,,BGF Dynamic High IncomeA6,
2026/6/1,202606,BOS SG,B,USD,SGD,0,0,0,,1.2824635,8640.504,6737.424,3.49,3.49,6741.612,2026/6/1,BOS,,Current Accounts,,Current Accounts SGD,Cash,Cash,,,
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,1154283.682,1154283.682,2159.74,2159.74,1156573.007,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 29/06/2026 AA261461W7YR,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,3295.76,3295.76,0,0,3295.76,2026/6/1,BOS,,Current Accounts,,Current Accounts USD,Cash,Cash,,,
2026/6/1,202606,BOS SG,A,USD,CHF,0,0,0,,0.795023,0,0,-4.1,-4.1,-4.1,2026/6/1,BOS,,Current Accounts,,Current Accounts CHF,Cash,Cash,,,
2026/6/1,202606,BOS SG,A,USD,USD,100000,100,80.91518446,2026/6/16,1,77678.57708,77678.57708,0,0,77678.57708,2026/6/1,BOS,XS3348956452,Equity Structured Products,Equities,"6M USD NATIXIS FCN - NVDA.OQ, TSM.N",FCN,Structured Product,,"6M USD NATIXIS FCN - NVDA.OQ, TSM.N , TSLA.OQ 271126 XS3348956452",NVIDIA Corporation;NVDA;Taiwan Semiconductor Manufacturing Company Limited;TSM;Tesla Inc;TSLA
2026/6/1,202606,BOS SG,B,USD,USD,600000,110.6,110.9242485,2026/6/16,1,654833.7723,652234.581,2652.236078,2652.236078,654833.7723,2026/6/1,BOS,US404280BL25,Bonds,Fixed Income,HSBC VAR 22112165 US404280BL25,Bond,Bond,,6% CONTINGENT CONVERTIBLE SECURITIES HSBC HOLDINGS PLC 2017-WITHOUT FIXED MATURITY GLOBAL FIXED/FLOATING RATE Duration: 16.6966 Yield to Maturity: 5.79%,HSBC Holdings plc;HSBA.L
2026/6/1,202606,BOS SG,C,USD,USD,200000,100,84.74665636,2026/6/16,1,177967.9783,177967.9783,0,0,177967.9783,2026/6/1,BOS,XS3365306102,Equity Structured Products,Equities,"5M USD NATIXIS FCN - GOOG.OQ, GLW.N",FCN,Structured Product,,,
2026/6/1,202606,BOS SG,A,USD,AUD,24850.895,10.16059985,8.517336217,2026/6/16,0.70617445,241296.306,170397.2882,0,0,170397.2882,2026/6/1,BOS,LU2044938129,Fixed Income Funds,Fixed Income,JPM Income Fund A Mth AUD Hgd-DIS,Fund,Fund,,,
2026/6/1,202606,BOS SG,C,USD,JPY,0,0,0,,160.256251,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts JPY,Cash,Cash,,,
2026/6/1,202606,BOS SG,C,USD,USD,200000,100,119.2773695,2026/6/10,1,252868.0232,252868.0232,0,0,252868.0232,2026/6/1,BOS,XS3365338725,Equity Structured Products,Equities,"5M USD NATIXIS FCN - NVDA.OQ, TSM.N",FCN,Structured Product,,,
2026/6/1,202606,BOS SG,A,USD,USD,368,171.3480524,375.0065422,2026/6/16,1,144902.5279,144902.5279,0,0,144902.5279,2026/6/1,BOS,US02079K1079,Equities,Equities,ALPHABET INC-CL C,Equity,Equity,,Reg.shs-C-AlphabetInc. nonvoting (GOOG) ISINUS02079K1079-股票代號GOOG,Alphabet Inc;GOOG
2026/6/1,202606,BOS SG,A,USD,EUR,200000,97.75,91.6070224,2026/6/16,1.159447,222302.1644,254912.3708,2037.758953,2362.673699,257747.5793,2026/6/1,BOS,XS1693822634,Bonds,Fixed Income,ABN    4.750 Perp     '27 FRN,Bond,Bond,38487670,300 000 4.75% ABN AMRO Bank NV 2017-Without fixed maturity Fixed/Variable Rate Interest dates: 22.09. - 2 nan Valor 38487670,ABN AMRO Bank N.V.;ABN.AS
2026/6/1,202606,BOS SG,B,USD,USD,4765.39,159.803269,185.0818181,2026/6/16,1,758508.8617,758508.8617,0,0,758508.8617,2026/6/1,BOS,IE0004810143,Money Market Funds,"Cash, Cash Equivalents and Money Market Funds",BLK ICS USD Liq Core Acc-ACC,Fund,Fund,,BlackRock ICS USD Liq Core Acc BLK,
2026/6/1,202606,BOS SG,B,USD,USD,2405.928,104.949109,127.1473732,2026/6/16,1,256962.2383,256962.2383,0,0,256962.2383,2026/6/1,BOS,IE00BMG7P587,Equity Funds,Equities,FTGF ClrBdg A US Dis(M) Plus(e)-DIS,Fund,Fund,,,
2026/6/1,202606,BOS SG,C,USD,USD,296,313.3833446,419.982171,2026/6/16,1,106910.6614,106910.6614,0,0,106910.6614,2026/6/1,BOS,US02079K1079,Equities,Equities,ALPHABET INC-CL C,Equity,Equity,,Reg.shs-C-AlphabetInc. nonvoting (GOOG) ISINUS02079K1079-股票代號GOOG,Alphabet Inc;GOOG
2026/6/1,202606,BOS SG,C,USD,USD,500000,106.25,112.0437643,2026/6/16,1,495923.5532,492992.563,3330.670759,3330.670759,495923.5532,2026/6/1,BOS,USF8500RAC63,Bonds,Fixed Income,SOGN 9.375 Perp FRN,Bond,Bond,,Societe Generale SA 9.375 % 2022-without final Maturity Convertible bond linked to R SG (Coco Bond),Société Générale Société anonyme;GLE.PA
2026/6/1,202606,BOS SG,B,USD,USD,0,0,0,,1,1219620.494,1219620.494,2159.74,2159.74,1222039.403,2026/6/1,BOS,,Deposits,,TERM DEPOSIT USD 3.40% 29/06/2026 AA261466SPQX,TD,Spot/FX/Deposit/Loans,,,
2026/6/1,202606,BOS SG,C,USD,USD,250000,100,85.74010821,2026/6/16,1,240072.303,240072.303,0,0,240072.303,2026/6/1,BOS,XS3237966299,Equity Structured Products,Equities,"5M USD OCBC FCN - MSFT.OQ, NVDA.OQ,",FCN,Structured Product,,"5M USD OCBC FCN - MSFT.OQ, NVDA.OQ, GOOGL.OQ 220626 XS3237966299",Microsoft Corporation;MSFT;NVIDIA Corporation;NVDA;Alphabet Inc;GOOGL
2026/6/1,202606,BOS SG,C,USD,USD,300000,100,85.08473731,2026/6/16,1,270569.4646,270569.4646,0,0,270569.4646,2026/6/1,BOS,XS3365283996,Equity Structured Products,Equities,"5M USD NATIXIS FCN - NVDA.OQ, AMD.O",FCN,Structured Product,,"5M USD NATIXIS FCN - NVDA.OQ, AMD.O Q, AAPL.OQ 051126 XS3365283996",NVIDIA Corporation;NVDA;Advanced Micro Devices Inc;AMD;Apple Inc;AAPL
2026/6/1,202606,BOS SG,C,USD,HKD,0,0,0,,7.833325,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/1,202606,BOS SG,C,USD,CHF,0,0,0,,0.795023,0,0,0,0,0,2026/6/1,BOS,,Current Accounts,,Current Accounts CHF,Cash,Cash,,,
2026/6/1,202606,BOS SG,A,USD,USD,0,0,0,,1,0,-22869.0062,0,0,-22869.0062,2026/6/1,BOS,,Equity Derivatives,,REV ACCU USD 265.7655 ALPHABET INC-CL C 03/09/2026 KO: 224.07; Booster: 2X SYACDC2524800049,Equity AQ,Structured Product,,,
2026/6/1,202606,BOS SG,C,USD,USD,200000,100,89.17573862,2026/6/16,1,142681.1818,142681.1818,0,0,142681.1818,2026/6/1,BOS,XS3362044888,Equity Structured Products,Equities,"5M USD Nomura FCN - EWJ.P, EWT.P, E",FCN,Structured Product,,"5M USD Nomura FCN - EWJ.P, EWT.P, E WY.P 031126 XS3362044888",iShares MSCI Japan ETF;EWJ;iShares MSCI Taiwan ETF;EWT;iShares MSCI South Korea ETF;EWY
2026/6/1,202606,BOS SG,B,USD,USD,163276.858,18.5,9.920761503,2026/6/16,1,1344459.534,1344459.534,0,0,1344459.534,2026/6/1,BOS,IE00BDTMQ100,Equity Funds,Equities,Wellington FinTech USD D Acc-ACC,Fund,Fund,,,
2026/6/1,202606,BOS SG,B,USD,GBP,211000,0.75760251,0.78287257,2026/6/16,1.34155095,181704.7235,243766.147,0,0,243766.147,2026/6/1,BOS,GB0008706128,Equities,Equities,LLOYDS BANKING GROUP PLC,Equity,Equity,,LLOYDS BANKING GROUP PLC,Lloyds Banking Group plc;LLOY.L
2026/6/1,202606,BOS SG,A,USD,USD,100000,100,70.53892773,2026/6/10,1,74065.87412,74065.87412,0,0,74065.87412,2026/6/1,BOS,XS3365337594,Equity Structured Products,Equities,"5M USD NATIXIS FCN - NVDA.OQ, TSM.N",FCN,Structured Product,,,
2026/6/1,202606,BOS SG,A,USD,EUR,0,0,0,,1.159447,8577.6273,9945.3024,0,0,9945.3024,2026/6/1,BOS,,Current Accounts,,Current Accounts EUR,Cash,Cash,,,
2026/6/1,202606,BOS SG,C,USD,USD,0,0,0,,1,0,-29825.532,0,0,-29825.532,2026/6/1,BOS,,Equity Derivatives,,ACCU USD 136.9707 CORNING INC 03/11/2027 KO: 208.021; Booster: 2X SYACDC2615500360,Equity AQ,Structured Product,,,
